State,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
District of Columbia,101700.00,3114.00,90640.00,3756.00,88220.00,3511.00,93110.00,3884.00,85750.00,2659.00,81280.00,1903.00,83380.00,3319.00,70980.00,2734.00,70070.00,2861.00,68280.00,4402.00,60060.00,5529.00,60680.00,3082.00,65250.00,3671.00,55250.00,2109.00,56930.00,3333.00,53140.00,2088.00,55590.00,1763.00,50780.00,1097.00,48480.00,1679.00,44990.00,2167.00,43450.00,1864.00,45040.00,1418.00,39070.00,995.00,41170.00,1023.00,41220.00,1072.00,38670.00,1599.00,33430.00,1311.00,31860.00,984.00,31970.00,1578.00,30750.00,1182.00,30120.00,1107.00,27300.00,1726.00,30250.00,1124.00,29890.00,1903.00,27390.00,1562.00,26750.00,1015.00,26740.00,748.00,27460.00,1285.00,24320.00,1252.00,21080.00,756.00,20410.00,860.00
Florida,65370.00,1950.00,59730.00,1509.00,57760.00,1814.00,58370.00,1579.00,54640.00,1887.00,53090.00,1438.00,53680.00,1816.00,51180.00,835.00,48830.00,1395.00,46140.00,950.00,48530.00,2815.00,47890.00,1573.00,46070.00,1110.00,45110.00,1138.00,44070.00,1544.00,45630.00,706.00,44860.00,858.00,45790.00,570.00,45680.00,629.00,42990.00,810.00,40540.00,632.00,38970.00,759.00,38020.00,828.00,36420.00,417.00,38860.00,743.00,35830.00,627.00,34910.00,767.00,32460.00,583.00,30640.00,513.00,29750.00,612.00,29290.00,632.00,28550.00,707.00,27350.00,526.00,27250.00,475.00,26690.00,454.00,26090.00,475.00,25410.00,475.00,24490.00,476.00,22850.00,540.00,21340.00,437.00,19790.00,468.00
Georgia,67730.00,2981.00,61500.00,2266.00,59270.00,2063.00,56630.00,1782.00,55820.00,2032.00,57990.00,2288.00,57020.00,2434.00,53530.00,1679.00,50770.00,1401.00,49560.00,2009.00,46990.00,4236.00,47440.00,1959.00,48120.00,1504.00,45970.00,2483.00,44120.00,1822.00,43340.00,1256.00,46230.00,1164.00,48640.00,1078.00,49340.00,1210.00,45930.00,838.00,40980.00,618.00,42440.00,979.00,42940.00,1107.00,42580.00,1073.00,41900.00,831.00,39430.00,1355.00,38670.00,1179.00,36660.00,916.00,32500.00,1666.00,34100.00,897.00,31470.00,1238.00,31660.00,1254.00,28800.00,1228.00,27210.00,1088.00,27560.00,1186.00,27540.00,1021.00,26570.00,896.00,26710.00,1380.00,24370.00,1112.00,21050.00,788.00,19980.00,815.00
Hawaii,91010.00,3712.00,82200.00,3790.00,80830.00,2427.00,88010.00,3565.00,80110.00,3482.00,73600.00,2352.00,73580.00,2227.00,72130.00,2510.00,64510.00,2840.00,71220.00,2676.00,64240.00,3918.00,61410.00,2207.00,56260.00,2255.00,59050.00,2531.00,59540.00,2731.00,55650.00,2023.00,61520.00,1481.00,64020.00,2125.00,60470.00,1571.00,59590.00,1212.00,56240.00,1690.00,51830.00,1332.00,47300.00,1371.00,47440.00,1256.00,51550.00,1193.00,44500.00,1832.00,40830.00,2369.00,40930.00,1399.00,41770.00,1893.00,42850.00,1292.00,42260.00,2423.00,42660.00,1759.00,42110.00,1435.00,37250.00,1630.00,38920.00,1414.00,35040.00,1328.00,33020.00,1482.00,35020.00,1074.00,29000.00,1206.00,28960.00,1446.00,28880.00,1216.00
Idaho,72580.00,2657.00,76920.00,1837.00,66730.00,1988.00,65990.00,2152.00,58730.00,2405.00,59500.00,2259.00,60210.00,2400.00,56560.00,1261.00,51620.00,1260.00,53440.00,2572.00,48470.00,5484.00,51770.00,3656.00,47920.00,3173.00,47460.00,3488.00,47050.00,1869.00,46780.00,1264.00,47420.00,1681.00,49180.00,1291.00,46210.00,1312.00,44180.00,1254.00,44360.00,1387.00,42370.00,982.00,37720.00,1121.00,38240.00,966.00,37610.00,1192.00,35800.00,1413.00,36680.00,1090.00,33400.00,1339.00,34710.00,1341.00,32680.00,1116.00,31540.00,1278.00,31010.00,1323.00,27700.00,874.00,26120.00,1029.00,25310.00,975.00,24650.00,953.00,23450.00,1004.00,20760.00,834.00,20750.00,680.00,20760.00,598.00,21090.00,963.00
Illinois,78020.00,2365.00,79250.00,1771.00,74330.00,2227.00,74400.00,2625.00,70150.00,2253.00,65970.00,1667.00,64610.00,1999.00,61390.00,1761.00,60410.00,1999.00,54920.00,1625.00,53940.00,3287.00,57200.00,1744.00,51740.00,1328.00,50640.00,1374.00,50730.00,1474.00,52870.00,941.00,53250.00,1325.00,52510.00,950.00,48670.00,1167.00,48400.00,986.00,46080.00,823.00,45150.00,1072.00,42710.00,856.00,46170.00,879.00,46060.00,966.00,46330.00,1028.00,43180.00,1234.00,41280.00,782.00,39550.00,1107.00,38070.00,875.00,35080.00,799.00,32860.00,810.00,31550.00,752.00,31880.00,714.00,32540.00,724.00,31300.00,623.00,29520.00,754.00,27080.00,536.00,26510.00,634.00,24870.00,523.00,23750.00,567.00
Indiana,70030.00,2717.00,70190.00,2519.00,66810.00,4176.00,66690.00,3112.00,59890.00,1997.00,58770.00,1655.00,58870.00,2026.00,56090.00,2877.00,51980.00,1682.00,48060.00,1943.00,49460.00,4508.00,50550.00,3220.00,46160.00,1787.00,44450.00,2309.00,46140.00,2573.00,44310.00,1085.00,46520.00,1185.00,47450.00,1255.00,45410.00,1236.00,42440.00,1100.00,42330.00,1151.00,42430.00,959.00,41050.00,748.00,40380.00,948.00,40870.00,679.00,40840.00,1719.00,39730.00,1589.00,38890.00,1183.00,35150.00,1298.00,33390.00,1444.00,27860.00,1032.00,29480.00,1361.00,28530.00,1315.00,27090.00,922.00,26930.00,1099.00,25900.00,1022.00,26290.00,931.00,22520.00,944.00,22730.00,709.00,22680.00,626.00,22770.00,710.00
Iowa,76320.00,3355.00,72430.00,3508.00,68820.00,3347.00,66050.00,4009.00,68720.00,2910.00,63470.00,4760.00,63480.00,5512.00,59090.00,2484.00,60860.00,3275.00,57810.00,3425.00,60160.00,6134.00,54860.00,1967.00,53440.00,2138.00,50220.00,1974.00,49020.00,1342.00,50720.00,1535.00,50140.00,1293.00,48910.00,1451.00,48130.00,1491.00,46500.00,1339.00,43390.00,1521.00,41380.00,884.00,41050.00,1152.00,40980.00,1133.00,40990.00,811.00,41100.00,1130.00,37020.00,1202.00,33780.00,1282.00,33210.00,1527.00,35520.00,942.00,33080.00,1280.00,28660.00,1240.00,28740.00,972.00,28550.00,1012.00,27290.00,986.00,26270.00,792.00,24310.00,1078.00,22190.00,912.00,22460.00,750.00,20930.00,604.00,19860.00,745.00
Kansas,73040.00,3440.00,75980.00,4213.00,73080.00,3632.00,73150.00,4329.00,63940.00,2027.00,56900.00,1937.00,57870.00,2898.00,56810.00,3268.00,54870.00,3731.00,53440.00,2863.00,47820.00,4496.00,51490.00,1498.00,50000.00,1812.00,46150.00,1950.00,46050.00,1816.00,44720.00,1788.00,47880.00,1410.00,48500.00,1805.00,45550.00,1252.00,42030.00,985.00,41070.00,1749.00,44230.00,1326.00,42620.00,1047.00,41420.00,1115.00,41060.00,1168.00,37350.00,2078.00,36710.00,1617.00,36470.00,1614.00,32590.00,1460.00,30340.00,921.00,28320.00,1064.00,29770.00,1144.00,30350.00,1137.00,29300.00,934.00,29920.00,1179.00,26860.00,908.00,25570.00,1153.00,25580.00,900.00,23930.00,782.00,22790.00,1033.00,24630.00,912.00
Kentucky,55880.00,4060.00,55630.00,3025.00,56760.00,2353.00,55660.00,2553.00,54560.00,3668.00,49670.00,1885.00,51350.00,1364.00,45370.00,2005.00,42390.00,2269.00,42790.00,1580.00,44880.00,3924.00,42160.00,1874.00,41090.00,1900.00,39860.00,1847.00,41100.00,2823.00,42660.00,1313.00,41150.00,812.00,39450.00,1211.00,39490.00,1051.00,36700.00,898.00,35610.00,1218.00,36940.00,857.00,36760.00,874.00,38440.00,1009.00,36270.00,848.00,33740.00,1484.00,36250.00,1511.00,33450.00,1659.00,32410.00,1439.00,29810.00,1149.00,26600.00,1028.00,24380.00,1091.00,23490.00,1259.00,23760.00,1046.00,24780.00,1213.00,23280.00,1206.00,19910.00,801.00,20670.00,939.00,19870.00,1006.00,17360.00,748.00,17680.00,1079.00
